area,name, low, lowmed, med, high
1,Rogers Park,300788,199649,332505,200080
2,West Ridge,15752,9930,14534,6582
3,Uptown,12512,10750,16282,8974
4,Lincoln Square,22164,9852,16608,11002
5,North Center,7258,6292,13316,8438
6,Lake View,3852,3676,9914,12008
7,Lincoln Park,17568,16588,37174,37044
8,Near North Side,11624,7284,17876,28052
9,Edison Park,19048,9918,29952,37700
10,Norwood Park,1370,1258,3648,3102
11,Jefferson Park,5188,5104,11774,7846
12,Forest Glen,4058,3562,7358,5154
13,North Park,1730,1502,4346,6020
14,Albany Park,3672,1924,4320,3082
15,Portage Park,9612,6558,11688,5464
16,Irving Park,10018,10102,17246,7978
17,Dunning,8018,8908,14840,8222
18,Montclare,5968,4802,13212,6812
19,Belmont Cragin,2306,1916,3208,1442
20,Hermosa,12096,10770,16188,4898
21,Avondale,3576,3806,5182,1360
22,Logan Square,6904,6276,9938,4164
23,Humboldt Park,14526,13314,19268,13132
24,West Town,14918,7904,8744,2458
25,Austin,16656,11636,23624,21744
26,West Garfield Park,26950,14820,18900,6020
27,East Garfield Park,6410,2682,2466,586
28,Near West Side,6796,2720,3006,898
29,North Lawndale,13896,5134,14502,13736
30,South Lawndale,10738,5056,5422,1042
31,Lower West Side,11688,8628,9150,2108
32,Loop,8606,6718,6784,1626
33,Near South Side,3636,2426,7464,9402
34,Armour Square,4072,2016,6428,7852
35,Douglas,4866,1876,2462,1016
36,Oakland,7422,3508,5298,1966
37,Fuller Park,8964,2988,5016,2136
38,Grand Boulevard,1416,560,244,18
39,Kenwood,8964,2988,5016,2136
40,Washington Park,7034,3228,4726,3656
41,Hyde Park,4304,1692,1422,436
42,Woodlawn,8032,4522,7294,5370
43,South Shore,9456,4336,4662,2014
44,Chatham,20898,10196,10922,2778
45,Avalon Park,12558,6230,8094,3172
46,South Chicago,2254,1676,3110,1144
47,Burnside,9530,5546,6588,1530
48,Calumet Heights,1010,394,794,98
49,Roseland,2442,2218,4610,2390
50,Pullman,10870,6816,11380,3296
51,South Deering,1974,1554,2454,332
52,East Side,3978,2136,3626,930
53,West Pullman,4186,3430,4822,1854
54,Riverdale,6756,4406,6652,2282
55,Hegewisch,2768,616,626,68
56,Garfield Ridge,1822,1724,2652,1462
57,Archer Heights,4590,3998,10208,5460
58,Brighton Park,1556,2274,2630,818
59,Mckinley Park,7276,6166,8040,1870
60,Bridgeport,2766,2556,3734,980
61,New City,7380,5294,8112,3220
62,West Elsdon,9488,6420,6738,1726
63,Gage Park,1532,2884,4208,1196
64,Clearing,4724,5790,6612,1192
65,West Lawn,3272,3294,7598,2940
66,Chicago Lawn,4198,4408,7620,1878
67,West Englewood,9972,8296,10570,2610
68,Englewood,10076,5680,4940,652
69,Greater Grand Crossing,12924,3790,4468,1052
70,Ashburn,12092,5584,7450,1900
71,Auburn Gresham,3976,5106,11208,5700
72,Beverly,13804,7590,10814,3190
73,Washington Heights,1932,1704,5918,6492
74,Mount Greenwood,5676,4988,6552,2416
75,Morgan Park,1282,1562,5990,4594
76,Ohare,3940,2696,5510,3862
77,Edgewater,2152,3074,5288,1416
,,18514,11954,18234,10396
